CBO,DCC,ExportCoupling,ImportCoupling,NOM,WMC,Defect
6,0,0,6,13,35,1
5,0,0,5,7,39,0
7,3,2,6,5,26,0
12,5,0,14,21,35,0
14,2,4,12,41,65,1
1,1,0,1,3,7,0
14,3,0,15,63,146,0
3,2,0,4,1,6,0
1,1,1,1,11,21,0
1,0,0,1,7,16,0
6,1,5,1,6,11,0
9,1,6,4,0,0,0
3,0,1,2,7,75,0
1,0,1,0,0,0,0
15,3,11,5,11,19,0
2,0,0,2,2,6,0
8,0,0,8,3,22,1
3,1,0,3,2,13,0
5,1,0,5,8,16,0
6,3,0,6,12,42,0
10,2,2,9,26,62,1
7,0,6,1,8,8,0
5,2,0,5,6,16,1
4,1,1,3,15,27,0
3,0,0,3,4,10,0
4,0,0,4,15,45,1
13,4,2,13,18,50,0
10,4,0,11,22,77,1
4,0,0,4,7,19,1
1,1,0,1,2,3,0
8,1,0,8,13,35,0
2,0,0,2,9,11,0
1,0,1,0,1,2,0
8,2,0,9,7,38,0
1,1,0,1,2,5,0
3,0,1,2,7,13,0
10,2,3,7,5,27,0
0,0,0,0,8,25,0
4,2,0,5,2,3,0
2,0,0,2,1,1,0
5,0,0,5,3,13,0
9,2,1,9,6,20,1
6,1,0,6,8,14,0
1,0,1,0,3,3,0
10,4,0,11,12,43,0
14,4,3,12,20,84,0
1,1,2,1,2,2,0
11,2,1,11,2,10,1
18,5,8,11,8,38,1
6,1,1,5,2,11,0
6,0,1,5,1,5,0
5,0,1,4,1,3,0
4,0,1,3,1,2,0
7,0,1,6,1,21,0
5,0,1,4,1,9,0
6,1,1,5,2,12,0
4,0,1,3,1,2,0
2,0,1,2,1,3,1
4,0,4,0,1,1,1
5,8,4,9,11,11,1
1,0,1,1,3,5,1
3,0,1,3,1,4,1
2,0,1,2,1,3,1
1,0,1,1,2,12,1
0,0,0,0,4,7,0
10,4,3,8,13,39,0
5,0,1,4,1,3,1
1,3,2,3,4,4,1
5,2,1,6,2,6,1
6,0,1,5,1,5,1
5,0,1,4,3,5,1
27,1,25,2,15,45,0
7,4,2,5,20,30,1
10,3,7,4,8,15,0
2,0,0,2,1,2,1
11,0,10,1,4,9,0
5,1,4,2,2,4,0
4,2,1,4,6,21,0
27,5,20,7,14,37,0
7,0,4,3,15,38,0
5,1,4,1,3,6,0
10,4,3,8,10,33,0
29,3,24,7,20,65,0
10,2,6,5,16,53,0
10,1,16,2,3,6,0
9,2,4,6,8,12,0
3,0,2,1,5,9,0
1,0,1,0,3,33,0
5,0,7,0,3,3,0
7,1,5,3,13,77,0
1,0,1,0,3,3,0
1,0,1,0,4,9,0
1,0,1,0,3,3,0
3,0,3,0,3,3,0
3,1,0,3,4,11,0
9,2,7,2,2,20,0
1,0,0,1,4,6,0
1,0,0,1,4,6,0
1,0,2,0,4,4,0
2,1,1,2,2,3,0
0,0,0,0,0,0,0
11,6,23,6,17,17,1
0,0,0,0,0,0,0
7,6,0,9,23,28,0
2,2,10,2,3,3,0
1,0,11,0,0,0,0
0,0,0,0,0,0,0
14,6,42,6,9,9,0
0,0,0,0,2,2,0
19,2,55,2,15,15,0
3,1,1,2,2,2,0
11,0,20,0,1,1,0
1,1,1,1,1,1,0
0,0,0,0,1,1,0
0,0,0,0,2,3,0
21,1,26,1,13,13,1
0,0,0,0,2,2,0
2,0,2,0,1,1,0
0,0,0,0,2,2,0
1,1,3,1,3,3,0
4,0,10,0,2,2,0
19,1,58,1,1,1,1
6,2,16,2,3,3,0
0,0,0,0,1,1,0
1,0,1,0,1,1,0
5,1,6,1,7,7,0
9,0,9,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,2,2,0
6,0,9,0,1,1,0
4,1,2,2,8,8,0
9,8,2,10,25,29,0
3,4,2,5,5,7,0
2,1,2,1,1,1,0
8,7,1,11,25,28,0
2,1,6,1,2,2,0
10,1,5,5,17,17,0
4,4,2,5,4,4,0
0,0,0,0,3,3,0
0,0,0,0,4,4,0
22,20,13,30,45,52,0
2,4,1,5,3,3,0
3,3,1,4,3,9,0
3,3,1,4,6,6,0
2,2,1,3,1,1,0
1,2,1,2,2,2,0
2,2,1,3,1,1,0
3,3,1,4,3,5,0
7,2,2,5,14,14,1
0,1,0,1,1,1,0
4,3,1,4,5,5,0
2,1,3,1,1,1,0
2,3,1,4,1,1,0
3,5,1,5,7,7,0
3,4,3,6,12,17,0
2,3,1,4,1,1,0
2,3,1,4,1,1,0
0,0,0,0,0,0,0
5,2,4,4,25,26,0
2,6,1,7,3,3,0
1,0,1,0,5,17,0
2,1,1,1,2,2,0
1,0,1,0,1,1,0
3,1,1,2,4,14,0
1,1,0,1,4,5,0
1,1,1,1,2,2,0
2,1,1,1,2,2,0
2,1,1,1,2,2,0
8,2,1,7,31,43,0
10,3,0,10,23,27,1
4,2,1,6,4,5,0
5,6,1,9,7,9,0
2,2,1,4,1,1,0
3,2,1,3,12,28,1
6,6,3,10,8,10,1
4,1,3,3,2,2,0
2,4,1,4,5,5,0
3,3,1,4,3,6,1
2,2,1,4,3,3,0
3,2,1,3,1,2,0
4,6,2,8,17,23,0
3,1,2,3,0,0,0
2,4,1,4,4,6,0
3,4,1,5,8,9,0
1,1,0,2,1,1,0
8,7,2,11,31,56,0
1,1,1,1,1,1,0
6,2,0,6,8,9,0
7,7,2,11,7,8,0
6,3,4,5,3,3,0
3,0,4,0,3,3,0
2,2,2,3,3,3,0
9,2,2,9,5,13,0
7,7,2,12,16,16,0
5,7,1,10,7,7,0
3,2,1,4,2,2,0
1,1,1,2,2,2,0
4,6,2,9,5,5,0
3,2,1,3,4,7,0
0,0,0,0,5,7,0
0,0,0,0,1,1,0
0,0,0,0,14,18,0
0,0,0,0,8,8,1
4,0,4,0,4,14,0
1,0,1,0,4,4,0
1,0,1,0,4,4,0
3,2,1,2,36,66,0
2,1,0,2,8,9,0
4,1,2,2,2,3,0
15,7,1,18,31,59,1
5,2,1,6,9,16,0
4,3,1,4,1,3,0
9,3,6,5,8,9,0
17,4,9,9,14,25,0
14,4,7,7,26,35,1
1,1,1,1,1,1,0
7,1,3,5,9,11,0
8,4,1,8,9,12,0
1,2,0,2,5,5,0
4,2,2,3,4,6,0
6,1,4,2,1,1,0
7,3,2,5,11,15,1
0,1,0,1,1,1,0
0,0,0,0,2,2,0
2,2,0,3,4,6,0
3,2,1,3,5,6,0
1,0,1,0,3,4,0
3,0,2,1,1,1,0
2,3,0,4,12,14,0
3,2,2,3,4,6,0
5,0,5,0,7,9,1
7,2,1,6,5,30,0
1,0,1,0,1,13,0
10,2,1,10,8,36,0
4,1,1,3,2,3,0
1,0,1,0,1,7,0
2,0,1,1,2,2,0
1,0,1,0,1,3,0
1,1,1,1,1,1,0
2,2,3,2,2,2,0
5,2,1,5,6,13,0
3,1,1,3,5,8,0
8,4,1,7,13,19,0
4,2,2,3,7,8,0
0,0,0,0,0,0,0
5,3,2,4,6,7,0
5,2,4,2,9,45,0
4,3,1,4,11,23,0
5,0,7,0,2,2,0
4,2,2,3,8,13,0
5,2,1,4,4,7,0
8,4,2,8,5,6,0
2,0,2,0,25,32,0
10,5,1,10,14,22,0
4,3,2,3,5,7,0
8,3,1,7,4,5,0
6,4,1,7,8,11,0
1,1,0,2,4,5,0
1,0,4,0,1,1,0
1,2,1,2,2,2,0
2,1,2,1,3,3,0
2,1,2,1,3,3,0
3,2,1,3,2,4,0
0,2,0,2,1,2,0
1,2,1,2,1,2,0
3,4,0,5,5,10,0
3,2,0,3,2,3,0
1,2,1,2,1,1,0
4,0,4,0,1,1,0
1,1,3,1,1,1,0
3,0,7,0,1,1,0
0,0,0,0,1,1,0
1,1,2,1,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
0,0,0,0,2,2,0
0,0,0,0,2,2,0
0,0,0,0,1,3,0
4,1,1,4,1,3,0
3,1,1,2,2,2,0
5,0,1,4,2,2,0
3,0,1,2,2,4,0
4,1,2,2,8,16,0
6,0,6,0,14,66,0
1,0,1,0,2,3,0
1,0,1,0,1,1,0
19,0,17,2,16,49,0
8,4,2,7,5,7,0
1,0,1,0,9,28,0
13,0,12,1,5,18,0
0,0,0,0,14,14,0
3,0,3,0,14,46,0
2,0,2,0,3,3,0
4,1,0,4,5,7,0
1,0,1,0,0,0,1
8,0,12,0,1,1,1
10,2,12,2,1,1,1
0,0,0,0,0,0,0
27,9,47,9,17,17,1
0,1,0,1,1,1,0
0,0,0,0,0,0,1
0,1,0,1,1,1,1
8,8,0,11,23,28,1
2,2,11,2,3,3,0
1,0,10,0,0,0,0
0,0,0,0,0,0,0
18,7,59,7,9,9,1
0,0,0,0,2,2,0
38,4,103,4,15,15,1
6,0,17,0,7,27,1
3,1,1,2,2,2,0
16,0,42,0,1,1,0
1,1,1,1,1,1,1
1,0,1,0,1,1,0
0,0,0,0,0,0,0
0,0,0,0,2,3,1
4,1,1,3,1,1,1
2,1,1,2,2,2,1
28,1,33,1,13,13,1
0,0,0,0,2,2,0
4,0,4,0,1,1,1
1,0,1,0,1,1,0
4,1,3,1,4,5,1
0,0,0,0,2,2,1
2,1,5,1,3,3,0
4,0,18,0,2,2,0
24,1,87,1,1,1,0
3,3,12,3,3,3,0
0,4,0,4,27,27,1
0,0,0,0,0,0,0
1,0,1,0,1,1,0
1,0,1,0,1,1,0
6,2,6,2,7,7,1
11,0,11,0,0,0,1
1,1,1,1,1,1,1
1,0,1,0,0,0,0
1,0,1,0,0,0,0
3,0,8,0,2,2,0
9,0,16,0,1,1,0
0,1,0,1,0,0,0
4,1,2,2,8,8,0
9,8,1,11,25,29,1
1,1,1,1,1,1,1
5,3,1,7,9,13,1
10,7,2,12,25,28,1
3,2,7,2,2,2,1
3,2,2,2,2,3,1
13,1,8,5,17,17,1
2,3,0,4,13,14,1
4,3,1,5,6,6,0
2,2,2,2,2,2,1
9,2,4,5,14,14,0
0,1,0,1,1,1,1
4,3,1,4,5,5,1
1,1,1,1,1,1,0
5,10,2,12,12,17,1
5,2,4,4,25,26,0
1,0,1,0,5,17,0
2,1,1,1,2,2,0
2,1,1,2,1,1,1
1,0,1,0,1,1,0
3,1,1,2,4,14,1
1,1,0,1,4,5,0
2,0,1,1,1,3,1
1,1,5,1,2,2,1
1,1,1,1,1,1,1
2,1,1,1,2,2,0
2,1,1,2,1,1,1
2,1,1,1,2,2,0
2,1,1,2,1,1,1
11,3,3,8,31,43,1
1,3,0,3,5,6,1
11,3,0,11,23,27,1
1,1,1,1,1,1,1
1,3,1,3,1,1,0
7,4,0,9,8,10,1
3,4,1,6,3,3,1
17,6,1,17,11,56,1
4,1,3,2,4,4,1
14,5,2,13,9,20,1
7,2,1,6,1,2,0
5,3,1,5,2,5,1
2,1,1,2,3,3,1
5,3,1,6,13,17,1
1,0,3,0,5,5,1
1,0,1,0,1,1,1
2,1,2,1,4,4,1
1,1,3,1,1,1,0
2,1,0,2,4,5,0
4,3,0,7,1,4,1
2,1,1,3,4,5,0
7,7,1,10,7,9,1
2,2,1,4,1,1,1
5,4,1,6,12,28,1
10,9,7,16,8,10,1
6,3,8,5,2,2,0
2,4,1,4,5,5,1
5,5,1,7,3,6,1
2,0,2,0,6,11,0
2,2,1,3,1,2,1
1,2,2,2,2,2,1
6,3,2,5,6,11,1
2,0,2,0,1,1,0
1,0,1,0,0,0,1
4,3,1,5,3,5,1
2,2,1,4,3,3,1
3,2,1,3,1,2,1
4,7,2,9,17,23,1
3,2,2,4,0,0,1
2,4,1,4,4,6,1
3,2,0,4,2,5,1
3,4,1,5,8,9,0
1,1,0,2,1,1,0
10,9,2,13,31,56,1
3,1,0,4,1,1,0
0,0,0,0,0,0,0
2,1,2,2,2,2,1
4,3,1,5,4,7,1
5,8,3,9,4,4,1
2,2,1,3,3,6,0
4,2,1,4,4,9,1
4,5,2,8,16,17,1
2,1,0,3,4,7,1
0,0,0,0,5,7,1
0,0,0,0,1,1,0
4,0,3,1,14,18,1
2,0,1,1,8,8,1
6,0,6,0,4,14,1
1,0,1,0,4,4,1
1,0,1,0,4,4,1
5,2,1,4,36,66,1
2,1,0,2,8,9,0
4,1,2,2,2,3,1
24,11,2,27,31,59,1
13,2,7,7,9,16,1
5,3,1,5,1,3,1
10,4,6,7,8,9,1
15,5,7,10,14,25,1
13,6,4,10,26,35,1
1,1,1,1,1,1,1
6,3,1,6,2,7,1
1,4,1,4,5,5,1
7,1,3,5,9,11,1
2,4,0,6,1,1,0
2,3,1,3,5,5,0
6,4,1,6,3,5,0
3,2,1,2,5,12,1
3,2,1,3,4,6,0
8,4,1,8,9,11,0
1,0,0,1,5,6,1
2,0,1,1,7,8,0
6,1,4,2,1,1,1
7,3,2,5,11,15,1
0,1,0,1,1,1,0
0,0,0,0,2,2,0
4,2,2,3,5,6,0
1,0,1,0,3,4,0
5,7,3,8,5,6,0
6,3,1,6,5,5,0
2,0,1,1,1,1,0
32,7,34,14,12,21,1
3,3,1,4,12,14,0
6,3,3,5,4,6,0
2,1,1,2,2,2,1
10,0,9,1,7,9,1
7,3,1,7,5,30,1
1,0,1,0,1,13,1
13,4,9,5,2,7,1
13,2,1,13,8,36,1
3,0,1,2,1,3,1
4,1,1,3,2,3,1
2,0,1,1,1,7,1
2,0,1,1,2,2,0
1,0,1,0,1,3,0
1,1,1,1,1,1,1
2,2,4,2,2,2,1
0,2,0,2,1,1,1
1,1,1,1,2,2,0
2,0,4,0,2,2,1
0,0,0,0,2,2,1
1,0,2,0,2,2,0
0,0,0,0,1,1,0
1,1,1,1,2,2,0
4,2,0,6,7,32,1
8,6,3,7,13,19,1
1,0,1,0,3,3,0
4,2,0,5,16,45,1
9,6,1,11,7,24,1
4,2,1,3,1,3,1
3,1,2,1,2,2,1
4,1,2,2,5,6,1
3,2,2,2,4,4,0
3,0,3,1,8,12,0
8,7,1,11,10,12,1
5,2,1,5,10,17,1
4,3,1,4,12,14,1
7,4,3,7,12,17,1
5,4,1,6,4,4,1
11,5,7,8,24,29,1
11,6,7,6,9,11,1
3,5,2,6,2,2,1
3,2,1,3,3,3,1
7,2,6,3,11,17,1
5,4,1,7,7,8,1
0,0,0,0,2,4,1
7,3,3,8,3,3,1
4,2,2,2,5,9,1
1,2,1,2,1,1,1
5,3,1,5,6,8,1
3,2,1,5,3,3,1
3,2,1,2,2,2,0
3,2,5,3,3,3,1
6,1,5,1,5,8,1
3,3,1,4,7,12,1
2,2,1,2,3,3,1
2,2,1,2,5,8,1
44,31,16,50,93,112,1
4,4,1,6,2,2,1
2,1,1,1,21,27,1
10,9,1,12,22,26,1
0,0,0,0,2,2,1
14,4,13,6,19,26,1
5,8,1,9,23,24,1
0,0,0,0,4,4,1
5,4,1,6,2,2,1
3,2,1,5,26,26,1
3,2,1,3,12,12,1
8,3,3,6,14,17,1
5,5,1,7,10,21,1
5,3,1,5,6,8,1
2,5,1,6,2,2,1
1,0,1,0,5,5,0
2,1,1,2,7,7,1
0,0,0,0,0,0,0
0,0,2,0,2,2,0
3,2,1,4,9,13,0
7,2,6,4,4,7,1
3,1,1,3,3,4,0
2,2,1,3,1,1,1
1,0,1,0,2,2,0
0,0,0,0,0,0,0
0,0,0,0,1,1,0
14,3,12,7,12,18,1
0,0,0,0,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
2,0,1,1,2,2,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,0
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,5,1,6,1,1,1
9,5,2,8,15,21,1
4,1,3,2,3,5,1
5,2,1,5,6,13,1
2,1,0,3,5,8,0
15,6,2,14,13,19,1
5,2,2,5,9,14,0
4,3,1,6,5,8,0
4,3,1,5,7,7,1
13,2,14,3,7,8,0
0,0,0,0,0,0,0
6,2,3,4,3,7,1
4,3,4,4,6,7,1
5,2,3,4,5,5,0
6,2,5,2,9,45,1
5,3,1,5,11,23,1
6,0,8,0,2,2,0
4,2,1,3,1,1,0
6,2,2,4,8,13,1
12,4,4,9,4,7,0
2,2,1,2,2,2,0
8,4,2,8,5,6,1
4,0,4,0,25,32,0
4,3,1,6,14,22,0
9,5,2,7,5,7,1
8,3,1,7,4,5,1
4,5,1,6,6,6,0
4,2,1,3,24,27,1
3,2,1,4,8,11,0
7,2,1,6,6,14,1
7,3,1,6,1,2,1
5,2,1,4,1,1,0
3,3,1,3,4,6,1
1,1,4,1,1,1,0
1,1,1,1,1,1,1
6,4,1,7,8,11,0
1,1,0,2,4,5,1
1,0,4,0,1,1,0
1,2,1,2,2,2,0
0,1,0,1,3,3,0
2,1,2,1,3,3,1
3,2,1,3,2,4,0
0,2,0,2,1,2,0
1,2,1,2,1,2,0
3,4,0,5,5,10,1
3,2,0,3,2,3,1
2,2,1,2,10,14,0
3,1,2,1,5,7,0
3,2,1,2,6,6,0
1,0,2,0,1,1,0
6,4,1,5,15,28,1
2,1,1,1,5,14,0
3,0,4,0,2,2,0
2,2,1,2,5,6,1
3,1,3,1,6,7,0
1,1,1,1,1,1,0
2,1,1,2,7,14,0
1,1,1,1,0,0,0
1,1,1,1,5,7,0
5,2,0,5,18,25,0
1,1,1,1,2,2,1
1,2,1,2,1,1,1
2,1,7,1,2,2,0
4,0,4,0,1,1,0
1,1,3,1,1,1,0
8,0,13,0,1,1,1
1,1,1,1,5,5,1
3,2,8,2,2,2,0
2,2,2,2,1,1,0
1,4,2,4,5,5,1
1,1,2,1,1,1,0
0,0,0,0,1,1,0
6,0,7,0,2,2,0
1,1,2,1,2,2,0
1,1,1,1,1,1,1
1,2,3,2,3,3,0
5,2,4,2,1,2,1
9,2,4,6,4,6,1
0,0,0,0,1,3,1
4,0,4,0,4,5,0
17,2,7,11,1,3,1
4,1,2,2,2,2,0
6,0,2,4,2,2,0
3,1,1,3,2,4,0
6,1,4,2,8,16,1
0,0,0,0,2,2,1
6,1,4,2,14,66,1
1,0,1,0,2,3,0
1,0,1,0,1,1,0
45,0,43,2,16,49,1
11,6,2,11,5,7,1
1,2,0,3,3,4,0
0,2,0,2,3,4,0
1,0,1,0,9,28,1
19,0,18,1,5,18,0
0,0,0,0,14,14,0
1,0,1,0,14,46,1
1,0,1,0,2,7,1
2,0,2,0,3,3,1
1,0,0,1,1,1,0
4,1,1,3,35,73,1
9,4,2,8,10,23,0
8,0,3,5,2,6,1
5,4,0,6,5,7,0
5,3,0,5,7,30,0
1,0,1,0,0,0,0
10,0,15,0,1,1,0
11,2,13,2,1,1,0
0,0,0,0,0,0,0
26,11,54,11,17,17,1
0,1,0,1,1,1,0
3,0,3,0,0,0,0
0,1,0,1,1,1,0
0,2,0,2,23,28,1
2,2,13,2,3,3,0
1,0,12,0,0,0,0
0,0,0,0,0,0,0
22,7,70,7,9,9,1
0,0,0,0,2,2,0
57,4,140,4,15,15,1
11,0,22,0,7,27,0
3,1,1,2,13,17,0
0,1,0,1,1,1,0
3,1,1,2,2,2,0
20,0,57,0,1,1,0
1,1,1,1,1,1,0
1,0,1,0,1,1,0
0,0,0,0,0,0,0
0,1,2,1,2,2,0
0,0,0,0,2,3,1
4,2,1,3,1,1,0
3,1,0,3,1,1,0
2,1,1,2,2,2,0
45,1,50,1,13,13,0
0,0,0,0,2,2,0
1,0,1,0,1,1,0
4,0,4,0,1,1,1
2,1,1,1,4,5,0
1,0,1,0,1,1,0
5,1,4,1,4,5,0
0,0,0,0,2,2,0
0,0,0,0,0,0,0
3,1,7,1,3,3,0
9,0,30,0,2,2,0
27,1,126,1,1,1,0
4,3,14,3,3,3,0
0,5,2,5,27,27,1
0,0,0,0,0,0,0
1,0,1,0,1,1,0
2,0,2,0,1,1,0
8,2,8,2,7,7,0
2,1,3,1,3,3,1
12,0,12,0,0,0,0
1,1,1,1,1,1,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
4,0,10,0,2,2,0
9,0,16,0,1,1,0
0,1,0,1,0,0,0
2,1,0,2,8,9,0
3,1,1,2,8,8,1
10,8,1,12,25,29,1
1,1,1,1,1,1,0
8,3,1,10,13,17,0
11,10,2,15,25,28,1
5,3,11,3,2,2,1
5,4,1,6,3,6,0
4,2,3,2,2,3,1
15,1,10,5,17,17,1
11,2,4,8,13,14,1
4,4,1,6,6,6,1
2,3,2,3,2,2,0
0,0,0,0,2,2,0
9,2,4,5,14,14,0
0,1,0,1,1,1,0
1,0,1,0,3,4,0
5,3,2,4,5,5,1
1,1,1,1,1,1,0
7,10,1,14,12,17,1
4,2,3,4,25,26,1
1,0,1,0,5,17,0
2,1,1,1,2,2,0
2,1,1,2,1,1,0
1,0,1,0,1,1,0
3,1,1,2,4,14,0
6,3,2,4,1,3,1
1,1,5,1,2,2,0
1,1,1,1,1,1,0
2,1,1,1,2,2,0
2,1,1,2,1,1,0
2,1,1,1,2,2,0
2,1,1,2,1,1,0
11,4,2,9,31,43,0
1,3,0,3,5,6,0
11,3,0,11,23,27,0
1,1,1,1,1,1,0
1,3,1,3,1,1,0
5,5,0,8,8,10,0
5,4,1,7,11,15,0
3,5,1,6,3,3,1
1,2,2,2,3,3,0
22,6,5,20,11,56,1
7,2,3,5,4,4,0
15,6,4,13,9,20,1
7,2,1,6,1,2,1
4,4,2,5,4,4,0
5,3,1,5,2,5,0
2,1,1,2,3,3,0
1,0,1,0,7,7,0
5,3,1,6,13,17,1
1,0,3,0,5,5,1
1,0,1,0,1,1,0
2,1,2,1,4,4,0
1,1,5,1,1,1,0
2,1,0,2,4,5,1
10,6,3,9,13,21,0
4,3,0,7,1,4,0
2,2,2,2,4,4,0
3,1,0,4,1,1,0
5,4,1,5,3,7,0
11,6,4,13,20,25,0
5,3,0,5,13,17,0
0,1,0,1,5,5,0
2,1,1,3,4,5,0
3,5,2,7,7,9,0
7,3,1,7,2,8,0
2,2,1,4,1,1,1
6,4,1,7,12,28,1
10,9,7,16,8,10,1
6,4,8,5,2,2,0
2,4,1,4,5,5,0
1,2,3,2,2,2,1
6,5,1,8,3,6,1
2,0,2,0,6,11,0
2,2,1,3,1,2,1
3,1,0,4,1,8,0
6,3,2,5,6,11,1
2,0,2,0,1,1,0
1,0,1,0,0,0,1
4,3,1,5,3,5,1
2,2,1,4,3,3,0
3,2,1,3,1,2,0
4,7,2,9,17,23,1
3,2,2,4,0,0,1
2,4,1,4,4,6,1
1,1,0,2,1,1,0
3,8,1,9,10,10,0
7,2,0,8,2,5,1
4,2,1,3,19,50,1
4,6,1,7,8,9,1
2,1,0,3,1,1,0
12,9,3,13,31,56,1
3,1,0,4,1,1,0
3,3,1,3,2,2,0
0,2,0,2,5,6,1
0,0,0,0,0,0,1
2,1,2,2,2,2,0
4,3,1,5,4,7,1
4,5,3,7,4,4,0
2,2,1,3,3,6,0
